12,517,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolates,Pop,D13,D13,D13,D13,G11,G11,G11,G11,Pi04,Pi04,Pi04,Pi04,Pi4B,Pi4B,Pi4B,Pi4B,Pi63,Pi63,Pi63,Pi63,Pi70,Pi70,Pi70,Pi70,SSR11,SSR11,SSR11,SSR11,SSR2,SSR2,SSR2,SSR2,SSR3,SSR3,SSR3,SSR3,SSR4,SSR4,SSR4,SSR4,SSR6,SSR6,SSR6,SSR6,SSR8,SSR8,SSR8,SSR8
CHG16,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHG1,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHG10,Chapingo_2015,172,174,0,0,156,160,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,291,291,0,0,244,244,0,0,264,266,0,0
CHG11,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHG12,Chapingo_2015,140,140,0,0,152,210,0,0,166,166,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,171,173,0,0,266,268,0,0,285,291,0,0,244,244,0,0,260,266,0,0
CHG13,Chapingo_2015,140,140,0,0,152,210,0,0,166,166,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,171,173,0,0,266,268,0,0,285,291,0,0,244,244,0,0,260,266,0,0
CHG3,Chapingo_2015,110,110,0,0,138,138,0,0,166,170,0,0,213,217,0,0,273,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,266,268,0,0,289,313,0,0,242,244,0,0,260,266,0,0
CHG4,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHG6,Chapingo_2015,108,110,0,0,138,138,0,0,166,170,0,0,213,217,0,0,273,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,268,268,0,0,289,315,0,0,242,244,0,0,260,266,0,0
CHG7,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHG8,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL14,Chapingo_2015,172,174,0,0,156,160,0,0,166,170,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,258,262,0,0,291,291,0,0,244,244,0,0,266,266,0,0
CHCL15,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL17,Chapingo_2015,172,174,0,0,156,160,0,0,166,170,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,258,262,0,0,291,291,0,0,244,244,0,0,266,266,0,0
CHCL18,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,291,293,0,0,244,244,0,0,264,266,0,0
CHCL19,Chapingo_2015,112,190,0,0,152,154,0,0,170,170,0,0,213,217,0,0,279,279,0,0,192,192,0,0,356,356,0,0,173,175,0,0,258,266,0,0,289,293,0,0,244,250,0,0,260,266,0,0
CHCL2,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL20,Chapingo_2015,144,144,0,0,162,162,0,0,170,170,0,0,209,213,0,0,270,273,0,0,192,192,0,0,331,356,0,0,173,173,0,0,262,264,0,0,285,289,0,0,244,244,0,0,260,266,0,0
CHCL21,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL22,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL24,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL25,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL26,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL28,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL29,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL31,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL34,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL37,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL38,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL39,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL7,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHG14,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
